"Constant Velocity Position Generator 
(Bodies Pass Through Collisions Without Interacting)",,,,,,,,,,,,,,,,,,,,,
INPUT DATA IN THE GREY AREA,,,,,,,,,WATCH THE RESULTS IN THE ORANGE AREA ... GREEN CELL MEANS GOOD RESULT,,,,,,,,,,,,
Velocity Frames,Particle 1,,,,Particle 2,,,,Collider Estimator,,,,,,,,,,,,
d/dt=v,1,2,3,,5,8,13,,Differences,,,,Square of the Diff,,,,Sum of Squares,,,,
,X1,Y1,Z1,,X2,Y2,Z2,,Diff X1 - X2,Diff Y1 - Y2,Diff Z1 - Z2,,(Diff X1 - X2)^2,(Diff Y1 - Y2)^2,(Diff Z1 - Z2)^2,,Sum of Squares,SQRT(Sum of Squares),,Min Distance,0
"Start Coordination
t=0",30,30,30,,-10,-30,-70,,40,60,100,,1600,3600,10000,,15200,123,,,
1,31,32,33,,-5,-22,-57,,36,54,90,,1296,2916,8100,,12312,110,,,
2,32,34,36,,0,-14,-44,,32,48,80,,1024,2304,6400,,9728,98,,,
3,33,36,39,,5,-6,-31,,28,42,70,,784,1764,4900,,7448,86,,,
4,34,38,42,,10,2,-18,,24,36,60,,576,1296,3600,,5472,73,,,
5,35,40,45,,15,10,-5,,20,30,50,,400,900,2500,,3800,61,,,
6,36,42,48,,20,18,8,,16,24,40,,256,576,1600,,2432,49,,,
7,37,44,51,,25,26,21,,12,18,30,,144,324,900,,1368,36,,,
8,38,46,54,,30,34,34,,8,12,20,,64,144,400,,608,24,,,
9,39,48,57,,35,42,47,,4,6,10,,16,36,100,,152,12,,,
10,40,50,60,,40,50,60,,0,0,0,,0,0,0,,0,0,,,
11,41,52,63,,45,58,73,,-4,-6,-10,,16,36,100,,152,12,,,
12,42,54,66,,50,66,86,,-8,-12,-20,,64,144,400,,608,24,,,
13,43,56,69,,55,74,99,,-12,-18,-30,,144,324,900,,1368,36,,,
14,44,58,72,,60,82,112,,-16,-24,-40,,256,576,1600,,2432,49,,,
15,45,60,75,,65,90,125,,-20,-30,-50,,400,900,2500,,3800,61,,,
16,46,62,78,,70,98,138,,-24,-36,-60,,576,1296,3600,,5472,73,,,
17,47,64,81,,75,106,151,,-28,-42,-70,,784,1764,4900,,7448,86,,,
18,48,66,84,,80,114,164,,-32,-48,-80,,1024,2304,6400,,9728,98,,,
19,49,68,87,,85,122,177,,-36,-54,-90,,1296,2916,8100,,12312,110,,,
20,50,70,90,,90,130,190,,-40,-60,-100,,1600,3600,10000,,15200,123,,,
21,51,72,93,,95,138,203,,-44,-66,-110,,1936,4356,12100,,18392,135,,,
22,52,74,96,,100,146,216,,-48,-72,-120,,2304,5184,14400,,21888,147,,,
23,53,76,99,,105,154,229,,-52,-78,-130,,2704,6084,16900,,25688,160,,,
24,54,78,102,,110,162,242,,-56,-84,-140,,3136,7056,19600,,29792,172,,,
25,55,80,105,,115,170,255,,-60,-90,-150,,3600,8100,22500,,34200,184,,,
26,56,82,108,,120,178,268,,-64,-96,-160,,4096,9216,25600,,38912,197,,,
27,57,84,111,,125,186,281,,-68,-102,-170,,4624,10404,28900,,43928,209,,,
28,58,86,114,,130,194,294,,-72,-108,-180,,5184,11664,32400,,49248,221,,,
29,59,88,117,,135,202,307,,-76,-114,-190,,5776,12996,36100,,54872,234,,,
30,60,90,120,,140,210,320,,-80,-120,-200,,6400,14400,40000,,60800,246,,,
31,61,92,123,,145,218,333,,-84,-126,-210,,7056,15876,44100,,67032,258,,,
32,62,94,126,,150,226,346,,-88,-132,-220,,7744,17424,48400,,73568,271,,,
33,63,96,129,,155,234,359,,-92,-138,-230,,8464,19044,52900,,80408,283,,,
34,64,98,132,,160,242,372,,-96,-144,-240,,9216,20736,57600,,87552,295,,,
35,65,100,135,,165,250,385,,-100,-150,-250,,10000,22500,62500,,95000,308,,,
36,66,102,138,,170,258,398,,-104,-156,-260,,10816,24336,67600,,102752,320,,,
37,67,104,141,,175,266,411,,-108,-162,-270,,11664,26244,72900,,110808,332,,,
38,68,106,144,,180,274,424,,-112,-168,-280,,12544,28224,78400,,119168,345,,,
39,69,108,147,,185,282,437,,-116,-174,-290,,13456,30276,84100,,127832,357,,,
